"rep","d","ang","ang_deg","method","rJ","rI1","rI2","eJ1","eJ2","eI1","eI2","time","error"
6,0.5,0,0,"PPD",5,1,4,0.7782956931945,0.286171890052944,0.947212346989702,0.115890610318776,202.769,NA
7,0.5,0,0,"PPD",5,1,4,0.78686181113872,0.277268565085825,0.950323792827692,0.116735502035402,111.203,NA
8,0.5,0,0,"PPD",5,1,4,0.776164412242931,0.274148949628541,0.948884501193907,0.115724084302599,121.594,NA
9,0.5,0,0,"PPD",5,1,4,0.791443099837065,0.280931964115171,0.950094260120051,0.117224292905682,110.839,NA
10,0.5,0,0,"PPD",5,1,4,0.775972259150773,0.279294213856706,0.947068518197729,0.116423100541713,202.485,NA
11,0.5,0,0,"PPD",5,1,4,0.773941860998092,0.276178249636592,0.949969646526123,0.116720375710752,203.004,NA
12,0.5,0,0,"PPD",5,1,4,0.774829849693241,0.28392491477153,0.948323132181341,0.116369880065915,110.365,NA
13,0.5,0,0,"PPD",5,1,4,0.794433990876946,0.285068903102319,0.950420618777038,0.117737019528337,114.269,NA
14,0.5,0,0,"PPD",5,1,4,0.792665900309369,0.275734824407743,0.950548772044163,0.117211254633854,184.416,NA
15,0.5,0,0,"PPD",5,1,4,0.775713836398276,0.276646641735157,0.947421620431154,0.116535738285697,202.668,NA
16,0.5,0,0,"PPD",5,1,4,0.782666065085913,0.283921009243902,0.950016539470217,0.115951032490271,112.756,NA
17,0.5,0,0,"PPD",5,1,4,0.783064276573797,0.280196890712199,0.949508735991033,0.116112120717286,175.496,NA
18,0.5,0,0,"PPD",5,1,4,0.787103208622231,0.278512937943472,0.951142555863177,0.116322299615772,110.462,NA
19,0.5,0,0,"PPD",5,1,4,0.779329216275957,0.27929750819908,0.950089093917305,0.117232655119483,112.188,NA
20,0.5,0,0,"PPD",5,1,4,0.783322417791615,0.291962772040983,0.950011247023899,0.116726807690006,110.746,NA
21,0.5,0,0,"PPD",5,1,4,0.778871811133983,0.277893962602456,0.950666886072909,0.116820212180944,111.827,NA
22,0.5,0,0,"PPD",5,1,4,0.775564218768789,0.280022421236474,0.949497403333576,0.115661676461429,109.467,NA
23,0.5,0,0,"PPD",5,1,4,0.77679317310405,0.275780148004943,0.949346785735807,0.117111971126816,110.291,NA
24,0.5,0,0,"PPD",5,1,4,0.786500717799923,0.284296498986706,0.949361718364739,0.115721290369916,203.28,NA
25,0.5,0,0,"PPD",5,1,4,0.777732262724286,0.282072819162471,0.948815358537188,0.116704992465777,110.964,NA
26,0.5,0,0,"PPD",5,1,4,0.789881331327519,0.279093654572921,0.951406104981922,0.116689231457671,185.715,NA
27,0.5,0,0,"PPD",5,1,4,0.791327637563693,0.273070189357384,0.951291087618811,0.116438360791916,111.055,NA
